# file...... loads_volts_B.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# group..... class=load
# property.. voltage_B
# limit..... 10000000
# interval.. 1
# timestamp,load701,load712,load713,load714,load718,load720,load722,load724,load725,load727,load728,load729,load730,load731,load732,load733,load734,load735,load736,load737,load738,load740,load741,load742,load744
2010-01-01 00:00:00 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:01 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:02 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:03 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:04 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:05 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:06 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:07 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:08 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
2010-01-01 00:00:09 EST,-2486.49-1423.93j,-2473.52-1409.92j,-2472.07-1408.62j,-2466.72-1404.06j,-2463.51-1404.57j,-2463.82-1397.75j,-2455.14-1387.52j,-2454.42-1386.71j,-2462.75-1396.22j,-2461.22-1403.69j,-2458.57-1402.91j,-2458.72-1403.42j,-2453.86-1401j,-2449.55-1398.26j,-2445.73-1399.49j,-2440.93-1398.93j,-2434.43-1398.01j,-2433.39-1396.81j,-2430.83-1393.87j,-2427.54-1397.9j,-2425.5-1397.86j,-2425.5-1397.86j,-2425.5-1397.86j,-2472.08-1408.43j,-2459.57-1403.26j
